Date,Title ID,Title Name,Qty Bought,Discount Code,Channel,Royalty
12/1/2010,ABbEVEVs__A,Cities of the World S1E22 - DUBAI United Arab Emirates,1,,YouTube,1.1
10/1/2010,AgI9KqxSM7Q,A Video Coffee Table Book S1E101 - Sedona A Video Diary,1,,YouTube,1.1
5/1/2010,Aj20JsL6I1o,Vista Point S1E164 - CARIBBEAN ISLANDS,1,,YouTube,1.1
12/1/2010,Aj20JsL6I1o,Vista Point S1E164 - CARIBBEAN ISLANDS,1,,YouTube,1.1
9/1/2010,AKZ-nW9rlsA,IMAX S1E14 - Life in the Balance Lost Worlds Hosted by Harrison Ford,1,,YouTube,1.1
8/1/2010,APKgH0Oha5w,Cities of the World S1E67 - SOUTH AFRICA,1,,YouTube,1.1
10/1/2010,APKgH0Oha5w,Cities of the World S1E67 - SOUTH AFRICA,1,,YouTube,1.1
2/1/2010,ATus_Urd93Q,Silk Road Journey From China Through Central Asia,1,,YouTube,1.1
3/1/2010,ATus_Urd93Q,Silk Road Journey From China Through Central Asia,1,,YouTube,1.1
9/1/2010,ATus_Urd93Q,Silk Road Journey From China Through Central Asia,1,,YouTube,1.1
7/1/2010,avcayHMQpuo,Vista Point S1E127 - CASABLANCA Morocco,1,,YouTube,1.1
12/1/2010,avcayHMQpuo,Vista Point S1E127 - CASABLANCA Morocco,1,,YouTube,1.1
4/1/2010,aWhoH6DTMKM,"Great White Sharks Isla de Guadalupe, Mexico",1,,YouTube,1.1
12/1/2010,aX5b08C_xdo,COSMOS GLOBAL DOCUMENTARIES S1E153 - TRIPOLITANIA - Libya,1,,YouTube,1.1
2/1/2010,aZuMrdba8SY,La Nouvelle Orleans,1,,YouTube,1.1
2/1/2010,b2g3eGSotyM,LAOS,1,,YouTube,1.1
11/1/2010,b2g3eGSotyM,7 Days S1E159 - LAOS,1,,YouTube,1.1
3/1/2010,B5jq_dV6iac,Slovenia,1,,YouTube,1.1
10/1/2010,B5jq_dV6iac,The Seasoned Traveler S2E204 - Slovenia,1,,YouTube,1.1
10/1/2010,bbQ1wH17hPM,Cities of the World S1E1 - Across the USA,1,,YouTube,1.1
8/1/2010,bCsExzigM4I,World Destinations S1E167 - Berlin,1,,YouTube,1.1
12/1/2010,BdGEUIjMcXs,The Best of Sun Destinations,1,,YouTube,1.1
10/1/2010,BDvo-36oI2U,Cities of the World S1E27 - GREECE,1,,YouTube,1.1
3/1/2010,be5VneV2qpg,A Surprise in the Ring,1,,YouTube,1.1
5/1/2010,be5VneV2qpg,Extremists S3E312 - A Surprise in the Ring,1,,YouTube,1.1
8/1/2010,Bgw63u7X3ec,Alternate Routes S1E2243 - Costa Rica,1,,YouTube,1.1
1/1/2010,bMot79NuoQc,"Pisa, Italy",1,,YouTube,1.1
10/1/2010,BnwjjqDAXe4,EXTRAVAGANZA S1E15 - CARNEVALE OF VENICE Kaleidoscope Of Spectacular Rituals - Italy,1,,YouTube,1.1
3/1/2010,bO60UcG5_K8,Big Sky Country Montana,1,,YouTube,1.1
8/1/2010,bO60UcG5_K8,Passport to Adventure S1E108 - Big Sky Country Montana,1,,YouTube,1.1
4/1/2010,BUoSiT-tOVc,Rufina and Pontassieve,1,,YouTube,1.1
3/1/2010,bvO66xwZ6qI,Mumbai India,1,,YouTube,1.1
10/1/2010,BW7zzVuFgm8,Guge: The Lost Kingdom of Tibet,1,,YouTube,1.1
8/1/2010,C_qJGaOdu_Q,UTAH USA,1,,YouTube,1.1
4/1/2010,c3GhHpd3Z0I,Destination Montreal,2,,YouTube,1.1
5/1/2010,C5oE_GzLU2o,Nature Parks S1E132 - RAPA NUI Eastern Islands / Chile,1,,YouTube,1.1
10/1/2010,c78Sf5BW1m4,Venezuela,2,,YouTube,1.1
