"Member ID","163145"
"Legacy Account ID",""
"Business Name","Travel Video Store"
"Address","5420 Boran Dr"
"","Tampa FL  33610"
"","United States"
"Date for Report","00:23 PST Jan  5 2015 "
"Date Range","12/01/14 to 01/01/15"
""
""
"Sales Channel","Sales Date","External SKU","UPC/EAN","TitleID","Title","Units","HAP/Sales Price","HAP/Sales Price Total","Extended Price %","Extended Price per Unit","Extended Price Total","Cost per Unit","Cost Total","Publisher Compensation per Unit","Publisher Compensation Total"
"Amazon UK Retail","09/12/2014","PEGPDVD1317","885444455759","291680","Riot Police[NON-US FORMAT, PAL]","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","05/12/2014","PEGPDVD1355","885444455827","291687","Vietnam: Destruction from Above[NON-US FORMAT, PAL]","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","10/12/2014","PEGPDVD1369","885444455865","291691","Warfile: Nazi Concentration Camp[NON-US FORMAT, PAL]","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","13/12/2014","CFTCDVDWINGS","091009990980","304155","Wings Over Grand Canyon","1","14.99","14.99","50%","7.49","7.49","0.00","0.00","7.49","7.49"
"Amazon UK Retail","08/12/2014","PPEDVD109","886470105106","306676","Bump-The Ultimate Gay Travel Companion Los Angeles","1","8.99","8.99","50%","4.49","4.49","0.00","0.00","4.49","4.49"
"Amazon UK Retail","21/12/2014","BOEDVD114","886470114054","307375","Backroads of Europe Thuringen Germany","1","8.99","8.99","50%","4.49","4.49","0.00","0.00","4.49","4.49"
"Amazon UK Retail","18/12/2014","BOEDVD115","886470114061","307376","Back Roads of Europe LIMOUSIN FRANCE","1","8.99","8.99","50%","4.49","4.49","0.00","0.00","4.49","4.49"
"Amazon UK Retail","23/12/2014","TOP-DVD-106","887936707742","385886","Top Destinations OPATIJA","1","9.72","9.72","70%","5.80","5.80","0.00","0.00","5.80","5.80"
"Amazon UK Retail","30/12/2014","TOP-DVD-107","887936707797","385897","Top Destinations RIJEKA","1","9.72","9.72","70%","5.80","5.80","0.00","0.00","5.80","5.80"
"Amazon UK Retail","28/12/2014","TOP-DVD-138","887936708015","385914","Top Destinations VIS","1","9.72","9.72","70%","5.80","5.80","0.00","0.00","5.80","5.80"
"Amazon UK Retail","21/12/2014","11_20","883629307497","236911","On Tour...  CANADIAN ROCKIES Highway Across Paradise","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","14/12/2014","11_20","883629307312","236929","On Tour...  MEKONG DELTA VIETNAM Exotic Asian Waterworld","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","21/12/2014","11_20","883629307763","236941","On Tour...  STRADA DELLE DOLOMITI The Majesty Of The Dolomites","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","19/12/2014","BNTDVDFTF02","883629303710","236992","The Keighley & Worth Valley Railway From The Footplate","1","9.99","9.99","50%","4.99","4.99","0.00","0.00","4.99","4.99"
"Amazon UK Retail","17/12/2014","9_24","883629309286","237089","Vista Point  NEW YORK","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","14/12/2014","BSPDVD312","883629308647","237153","Weekend Explorer  Borneo, Malaysia","1","8.99","8.99","50%","4.49","4.49","0.00","0.00","4.49","4.49"
"Amazon UK Retail","20/12/2014","","883629315690","239545","Tsunami","1","8.99","8.99","50%","4.49","4.49","0.00","0.00","4.49","4.49"
"Amazon UK Retail","12/12/2014","","883629316017","239577","Nepal","1","8.99","8.99","50%","4.49","4.49","0.00","0.00","4.49","4.49"
"Amazon UK Retail","15/12/2014","","883629316192","239595","Inside Iraq The Untold Stories","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","01/12/2014","","883629316260","239602","Explore San Francisco 2nd Edition","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","17/12/2014","GRDVD15613","883629488677","244894","GlobeRiders Iceland Adventure A Motorcycle Tour of Iceland","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","15/12/2014","GRDVD15613","883629488677","244894","GlobeRiders Iceland Adventure A Motorcycle Tour of Iceland","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","16/12/2014","GRKDVDBEL","883629488745","244901","Dive Travel  Belize Home of the Famous Blue Hole","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","14/12/2014","7956","883629488936","244920","Prague (Praha) The Mother of Cities [PAL]","1","14.99","14.99","50%","7.49","7.49","0.00","0.00","7.49","7.49"
"Amazon UK Retail","05/12/2014","","883629830056","260445","Iceland's Favourite Places  Reykjavik & The Golden Circle (PAL)","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
