UPC,product url,price,condition,category,format,stock,shipping rate,shipping weight
764315000635,http://www.travelvideostore.com/product_info.php?products_id=3942&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
827561111491,http://www.travelvideostore.com/product_info.php?products_id=3964&ref=115123,9.95,New,Movies,DVD,Y,$0.00,0.32
827561111293,http://www.travelvideostore.com/product_info.php?products_id=3965&ref=115123,9.95,New,Movies,DVD,Y,$0.00,0.32
827561111392,http://www.travelvideostore.com/product_info.php?products_id=3966&ref=115123,9.95,New,Movies,DVD,Y,$0.00,0.32
017078917420,http://www.travelvideostore.com/product_info.php?products_id=3967&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
033937080067,http://www.travelvideostore.com/product_info.php?products_id=4121&ref=115123,4.96,New,Movies,VHS,Y,$0.00,1.20
879061004483,http://www.travelvideostore.com/product_info.php?products_id=4339&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
737598333059,http://www.travelvideostore.com/product_info.php?products_id=4091&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
743252249840,http://www.travelvideostore.com/product_info.php?products_id=4037&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
743252249857,http://www.travelvideostore.com/product_info.php?products_id=4036&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
743252249864,http://www.travelvideostore.com/product_info.php?products_id=4035&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
033937028229,http://www.travelvideostore.com/product_info.php?products_id=4016&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
017078909630,http://www.travelvideostore.com/product_info.php?products_id=4002&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
715098763446,http://www.travelvideostore.com/product_info.php?products_id=3996&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
033937033292,http://www.travelvideostore.com/product_info.php?products_id=3988&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
859287001015,http://www.travelvideostore.com/product_info.php?products_id=4079&ref=115123,19.99,New,Movies,DVD,Y,$0.00,0.32
8594016790236,http://www.travelvideostore.com/product_info.php?products_id=4126&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.60
033937033155,http://www.travelvideostore.com/product_info.php?products_id=4140&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
715098763453,http://www.travelvideostore.com/product_info.php?products_id=4176&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
642501000112,http://www.travelvideostore.com/product_info.php?products_id=4178&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
799759042934,http://www.travelvideostore.com/product_info.php?products_id=4212&ref=115123,24.95,New,Movies,DVD,Y,$0.00,0.32
743252880234,http://www.travelvideostore.com/product_info.php?products_id=4187&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
054961836994,http://www.travelvideostore.com/product_info.php?products_id=4197&ref=115123,24.95,New,Movies,DVD,Y,$0.00,0.32
054961837793,http://www.travelvideostore.com/product_info.php?products_id=4198&ref=115123,24.95,New,Movies,DVD,Y,$0.00,0.32
014381967920,http://www.travelvideostore.com/product_info.php?products_id=4209&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
9781588496553,http://www.travelvideostore.com/product_info.php?products_id=4215&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
799759040039,http://www.travelvideostore.com/product_info.php?products_id=4219&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
781735601136,http://www.travelvideostore.com/product_info.php?products_id=4220&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
829637714704,http://www.travelvideostore.com/product_info.php?products_id=4222&ref=115123,17.95,New,Movies,DVD,Y,$0.00,0.32
056775046798,http://www.travelvideostore.com/product_info.php?products_id=4223&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
018111210492,http://www.travelvideostore.com/product_info.php?products_id=4224&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
750563813097,http://www.travelvideostore.com/product_info.php?products_id=4225&ref=115123,24.95,New,Movies,DVD,Y,$0.00,0.32
750563811994,http://www.travelvideostore.com/product_info.php?products_id=4228&ref=115123,24.95,New,Movies,DVD,Y,$0.00,0.32
829173000026,http://www.travelvideostore.com/product_info.php?products_id=4502&ref=115123,12.95,New,Movies,DVD,Y,$0.00,0.32
